rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/epsilon_road,Ivan Petrov,True,Daily Reel,Fresh,60%,2022-08-06,"A sharp, moving film with terrific performances and real momentum, and it works better as a mood piece than as a story. (Review 155)"
m/northern_city,Ivan Petrov,True,Daily Reel,Rotten,2,2022-10-05,"A disappointing misfire that never finds its footing, and the humour is broad and joyless. (Review 156)"
m/alpha_sea,Ivan Petrov,True,Daily Reel,Fresh,85%,2022-10-16,"Assured, generous filmmaking that trusts its audience, and the pacing never slackens. (Review 157)"
m/epsilon_night,Ivan Petrov,True,Daily Reel,Fresh,4/5,2023-04-12,"Beautifully shot and confidently directed, it earns every beat, and the pacing never slackens. (Review 158) Verdict: 4/5."
m/northern_city,Ivan Petrov,True,Daily Reel,Rotten,3/10,2022-11-27,"Handsomely mounted and entirely inert, and the humour is broad and joyless. (Review 159) Verdict: 3/10."
m/beta_harvest,Ivan Petrov,True,Daily Reel,Fresh,85%,2020-12-28,"Assured, generous filmmaking that trusts its audience, and the pacing never slackens. (Review 160) Verdict: 85%."
m/hollow_road,Ivan Petrov,True,Daily Reel,Rotten,3/10,2023-02-20,"Handsomely mounted and entirely inert, and the editing is actively confusing. (Review 161)"
m/beta_city,Ivan Petrov,True,Daily Reel,Fresh,B+,2022-09-23,"An absolute delight from the first frame to the last, and the script respects its own premise; the ensemble is uniformly excellent. (Review 162)"
m/hollow_anthem,Ivan Petrov,True,Daily Reel,Rotten,C-,2023-04-05,"A tedious, overlong mess that squanders a promising premise, and the leads have no chemistry to speak of; the third act abandons its own rules. (Review 163)"
m/beta_orbit,Ivan Petrov,True,Daily Reel,Rotten,1.5/5,2020-07-25,"Flat characters and clumsy pacing sink whatever goodwill it builds, and the leads have no chemistry to speak of. (Review 164)"
m/hollow_anthem,Ivan Petrov,True,Daily Reel,Fresh,B+,2023-06-22,"An absolute delight from the first frame to the last, and the cinematography does real narrative work; it finds humour without undercutting the drama. (Review 165)"
m/epsilon_anthem,Ivan Petrov,True,Daily Reel,Fresh,85%,2020-08-19,"Smart writing and a superb lead turn make this an easy recommendation, and the script respects its own premise. (Review 166) Verdict: 85%."
m/silent_anthem,Ivan Petrov,True,Daily Reel,Fresh,B,2022-03-10,"A gorgeous, patient picture with a startling final act, and the score is used sparingly and lands hard; the pacing never slackens. (Review 167)"
m/beta_harvest,Ivan Petrov,True,Daily Reel,Fresh,4/5,2020-07-03,"A gorgeous, patient picture with a startling final act, and the ensemble is uniformly excellent. (Review 168) Verdict: 4/5."
m/northern_city,Ivan Petrov,True,Daily Reel,Fresh,85%,2023-01-14,"Smart writing and a superb lead turn make this an easy recommendation, and the pacing never slackens. (Review 169) Verdict: 85%."
m/northern_road,Ivan Petrov,True,Daily Reel,Rotten,C-,2022-02-14,"Flat characters and clumsy pacing sink whatever goodwill it builds, and the third act abandons its own rules. (Review 170)"
m/hollow_harvest,Ivan Petrov,True,Daily Reel,Rotten,D,2023-04-15,"Predictable and lifeless, with dialogue that lands with a thud, and the leads have no chemistry to speak of; every twist arrives twenty minutes after you saw it coming. (Review 171) Verdict: D."
m/northern_road,Ivan Petrov,True,Daily Reel,Rotten,D,2022-12-23,"A disappointing misfire that never finds its footing, and every twist arrives twenty minutes after you saw it coming; every twist arrives twenty minutes after you saw it coming. (Review 172)"
m/alpha_sky,Ivan Petrov,True,Daily Reel,Fresh,A-,2023-06-23,"Beautifully shot and confidently directed, it earns every beat, and it finds humour without undercutting the drama; the pacing never slackens. (Review 173)"
m/hollow_sea,Sofia Marchetti,True,Cinema Post,Fresh,B+,2022-08-15,"An absolute delight from the first frame to the last, and the score is used sparingly and lands hard. (Review 174)"
m/crimson_city,Sofia Marchetti,True,Cinema Post,Fresh,C+,2020-12-08,"Smart writing and a superb lead turn make this an easy recommendation, and it works better as a mood piece than as a story; every twist arrives twenty minutes after you saw it coming. (Review 175) Verdict: C+."
m/last_city,Sofia Marchetti,True,Cinema Post,Fresh,4/5,2023-02-05,"A sharp, moving film with terrific performances and real momentum, and the cinematography does real narrative work. (Review 176)"
m/broken_sky,Sofia Marchetti,True,Cinema Post,Fresh,3.5/4,2022-05-04,"A sharp, moving film with terrific performances and real momentum, and the pacing never slackens. (Review 177)"
m/gamma_road,Sofia Marchetti,True,Cinema Post,Fresh,B,2020-01-15,"Smart writing and a superb lead turn make this an easy recommendation, and the score is used sparingly and lands hard. (Review 178) Verdict: B."
m/gamma_orbit,Sofia Marchetti,True,Cinema Post,Rotten,D+,2022-11-11,"A disappointing misfire that never finds its footing, and the third act abandons its own rules. (Review 179) Verdict: D+."
m/alpha_road,Sofia Marchetti,True,Cinema Post,Fresh,4.5/5,2023-09-05,"Assured, generous filmmaking that trusts its audience, and it finds humour without undercutting the drama. (Review 180) Verdict: 4.5/5."
m/beta_night,Sofia Marchetti,True,Cinema Post,Fresh,B+,2021-08-23,"Smart writing and a superb lead turn make this an easy recommendation, and it finds humour without undercutting the drama. (Review 181) Verdict: B+."
m/beta_harvest,Sofia Marchetti,True,Cinema Post,Rotten,C-,2020-10-12,"Handsomely mounted and entirely inert, and the humour is broad and joyless. (Review 182) Verdict: C-."
m/northern_road,Sofia Marchetti,True,Cinema Post,Fresh,B+,2022-03-17,"A sharp, moving film with terrific performances and real momentum, and the score is used sparingly and lands hard. (Review 183)"
m/silent_city,Sofia Marchetti,True,Cinema Post,Fresh,B+,2021-01-29,"An absolute delight from the first frame to the last, and the ensemble is uniformly excellent. (Review 184)"
m/beta_road,Sofia Marchetti,True,Cinema Post,Fresh,B+,2023-03-12,"A gorgeous, patient picture with a startling final act, and the ensemble is uniformly excellent. (Review 185)"
m/beta_harvest,Sofia Marchetti,True,Cinema Post,Fresh,B,2021-03-20,"A sharp, moving film with terrific performances and real momentum, and it finds humour without undercutting the drama; the score is used sparingly and lands hard. (Review 186)"
m/beta_winter,Sofia Marchetti,True,Cinema Post,Fresh,2.5/4,2023-06-09,"Smart writing and a superb lead turn make this an easy recommendation, and there is a leaner, stranger film buried in here. (Review 187)"
m/silent_anthem,Sofia Marchetti,True,Cinema Post,Fresh,5,2022-10-19,"A sharp, moving film with terrific performances and real momentum, and it works better as a mood piece than as a story; every twist arrives twenty minutes after you saw it coming. (Review 188)"
m/alpha_signal,Sofia Marchetti,True,Cinema Post,Fresh,A-,2019-08-23,"Smart writing and a superb lead turn make this an easy recommendation, and it finds humour without undercutting the drama. (Review 189) Verdict: A-."
m/gamma_city,Sofia Marchetti,True,Cinema Post,Fresh,B+,2021-05-18,"Assured, generous filmmaking that trusts its audience, and the pacing never slackens. (Review 190) Verdict: B+."
m/gamma_orbit,Sofia Marchetti,True,Cinema Post,Fresh,4/5,2023-07-19,"A gorgeous, patient picture with a startling final act, and it finds humour without undercutting the drama. (Review 191)"
m/crimson_city,Sofia Marchetti,True,Cinema Post,Fresh,C+,2020-10-09,"A gorgeous, patient picture with a startling final act, and there is a leaner, stranger film buried in here. (Review 192)"
m/epsilon_night,Sofia Marchetti,True,Cinema Post,Fresh,4/5,2023-01-05,"A gorgeous, patient picture with a startling final act, and the ensemble is uniformly excellent; the script respects its own premise. (Review 193)"
m/last_city,Sofia Marchetti,True,Cinema Post,Fresh,B+,2023-05-16,"An absolute delight from the first frame to the last, and the score is used sparingly and lands hard; the script respects its own premise. (Review 194)"
m/alpha_sea,Sofia Marchetti,True,Cinema Post,Fresh,85%,2022-06-21,"An absolute delight from the first frame to the last, and the score is used sparingly and lands hard. (Review 195)"
m/delta_road,Sofia Marchetti,True,Cinema Post,Fresh,9,2022-03-20,"Assured, generous filmmaking that trusts its audience, and it finds humour without undercutting the drama; the script respects its own premise. (Review 196)"
m/beta_orbit,Sofia Marchetti,True,Cinema Post,Rotten,2,2020-09-03,"Weightless spectacle in search of a reason to exist, and every twist arrives twenty minutes after you saw it coming; the humour is broad and joyless. (Review 197) Verdict: 2."
m/epsilon_anthem,Sofia Marchetti,True,Cinema Post,Fresh,2.5/4,2020-01-05,"A sharp, moving film with terrific performances and real momentum, and it works better as a mood piece than as a story. (Review 198) Verdict: 2.5/4."
m/hollow_sea,Sofia Marchetti,True,Cinema Post,Fresh,4/5,2022-11-25,"A sharp, moving film with terrific performances and real momentum, and the pacing never slackens. (Review 199)"
m/beta_sea,Sofia Marchetti,True,Cinema Post,Fresh,9,2021-04-29,"Assured, generous filmmaking that trusts its audience, and the ensemble is uniformly excellent; it finds humour without undercutting the drama. (Review 200)"
m/hollow_winter,Sofia Marchetti,True,Cinema Post,Fresh,3.5/4,2021-01-07,"An absolute delight from the first frame to the last, and the cinematography does real narrative work; it finds humour without undercutting the drama. (Review 201)"
m/hollow_sea,Sofia Marchetti,True,Cinema Post,Fresh,A-,2023-05-14,"A sharp, moving film with terrific performances and real momentum, and the cinematography does real narrative work; the ensemble is uniformly excellent. (Review 202)"
m/silent_garden,Sofia Marchetti,True,Cinema Post,Fresh,A-,2023-06-03,"A sharp, moving film with terrific performances and real momentum, and the pacing never slackens. (Review 203)"
m/broken_sky,Sofia Marchetti,True,Cinema Post,Fresh,B+,2022-06-01,"An absolute delight from the first frame to the last, and the cinematography does real narrative work; the pacing never slackens. (Review 204)"
m/last_city,Daniel Osei,True,Frame Weekly,Fresh,9,2023-01-24,"A gorgeous, patient picture with a startling final act, and the cinematography does real narrative work; the score is used sparingly and lands hard. (Review 205)"
m/beta_machine,Daniel Osei,True,Frame Weekly,Rotten,C-,2020-12-28,"Flat characters and clumsy pacing sink whatever goodwill it builds, and it mistakes volume for tension. (Review 206)"
m/silent_winter,Daniel Osei,True,Frame Weekly,Rotten,D,2021-12-17,"Predictable and lifeless, with dialogue that lands with a thud, and the leads have no chemistry to speak of; every twist arrives twenty minutes after you saw it coming. (Review 207) Verdict: D."
m/alpha_sea,Daniel Osei,True,Frame Weekly,Rotten,1.5/5,2021-09-30,"Handsomely mounted and entirely inert, and the third act abandons its own rules. (Review 208) Verdict: 1.5/5."
m/epsilon_night,Daniel Osei,True,Frame Weekly,Rotten,1.5/5,2023-05-02,"Flat characters and clumsy pacing sink whatever goodwill it builds, and it mistakes volume for tension. (Review 209) Verdict: 1.5/5."
m/hollow_sea,Daniel Osei,True,Frame Weekly,Fresh,5,2022-07-22,"A gorgeous, patient picture with a startling final act, and there is a leaner, stranger film buried in here. (Review 210)"
m/beta_harvest,Daniel Osei,True,Frame Weekly,Fresh,3/5,2020-06-11,"Smart writing and a superb lead turn make this an easy recommendation, and it works better as a mood piece than as a story. (Review 211) Verdict: 3/5."
m/crimson_city,Daniel Osei,True,Frame Weekly,Rotten,1/4,2020-11-21,"Weightless spectacle in search of a reason to exist, and the humour is broad and joyless. (Review 212)"
m/northern_road,Daniel Osei,True,Frame Weekly,Fresh,9,2022-06-24,"An absolute delight from the first frame to the last, and the cinematography does real narrative work. (Review 213) Verdict: 9."
m/epsilon_night,Daniel Osei,True,Frame Weekly,Fresh,4.5/5,2022-10-07,"An absolute delight from the first frame to the last, and the score is used sparingly and lands hard. (Review 214)"
m/northern_road,Daniel Osei,True,Frame Weekly,Rotten,1/4,2022-10-01,"Predictable and lifeless, with dialogue that lands with a thud, and it mistakes volume for tension. (Review 215)"
m/silent_city,Daniel Osei,True,Frame Weekly,Fresh,B,2021-04-05,"Beautifully shot and confidently directed, it earns every beat, and the script respects its own premise. (Review 216)"
m/beta_city,Daniel Osei,True,Frame Weekly,Fresh,85%,2021-12-10,"An absolute delight from the first frame to the last, and the cinematography does real narrative work. (Review 217) Verdict: 85%."
m/beta_road,Daniel Osei,True,Frame Weekly,Rotten,2,2023-07-08,"A tedious, overlong mess that squanders a promising premise, and every twist arrives twenty minutes after you saw it coming. (Review 218)"
m/beta_sea,Daniel Osei,True,Frame Weekly,Fresh,B+,2021-11-13,"A gorgeous, patient picture with a startling final act, and the cinematography does real narrative work; it finds humour without undercutting the drama. (Review 219)"
m/beta_sea,Daniel Osei,True,Frame Weekly,Rotten,D+,2021-05-08,"Weightless spectacle in search of a reason to exist, and every twist arrives twenty minutes after you saw it coming. (Review 220) Verdict: D+."
m/alpha_signal,Daniel Osei,True,Frame Weekly,Fresh,8/10,2019-12-02,"Smart writing and a superb lead turn make this an easy recommendation, and the cinematography does real narrative work. (Review 221)"
m/delta_road,Daniel Osei,True,Frame Weekly,Rotten,2,2022-06-25,"A tedious, overlong mess that squanders a promising premise, and every twist arrives twenty minutes after you saw it coming. (Review 222) Verdict: 2."
m/beta_city,Daniel Osei,True,Frame Weekly,Rotten,3/10,2022-02-09,"Handsomely mounted and entirely inert, and the humour is broad and joyless. (Review 223) Verdict: 3/10."
m/alpha_sea,Daniel Osei,True,Frame Weekly,Fresh,5,2022-03-13,"Assured, generous filmmaking that trusts its audience, and it works better as a mood piece than as a story. (Review 224)"
m/beta_city,Daniel Osei,True,Frame Weekly,Fresh,3.5/4,2022-12-26,"A gorgeous, patient picture with a startling final act, and the pacing never slackens; the ensemble is uniformly excellent. (Review 225)"
m/beta_road,Daniel Osei,True,Frame Weekly,Fresh,3/5,2023-06-29,"An absolute delight from the first frame to the last, and it works better as a mood piece than as a story. (Review 226) Verdict: 3/5."
m/silent_winter,Daniel Osei,True,Frame Weekly,Fresh,8/10,2021-11-09,"A sharp, moving film with terrific performances and real momentum, and the script respects its own premise; the cinematography does real narrative work. (Review 227)"
m/beta_road,Daniel Osei,True,Frame Weekly,Rotten,D+,2022-12-27,"Weightless spectacle in search of a reason to exist, and every twist arrives twenty minutes after you saw it coming; every twist arrives twenty minutes after you saw it coming. (Review 228)"
m/beta_night,Daniel Osei,True,Frame Weekly,Rotten,D+,2021-02-03,"Flat characters and clumsy pacing sink whatever goodwill it builds, and every twist arrives twenty minutes after you saw it coming. (Review 229) Verdict: D+."
m/golden_road,Daniel Osei,True,Frame Weekly,Fresh,5,2022-08-10,"Smart writing and a superb lead turn make this an easy recommendation, and there is a leaner, stranger film buried in here. (Review 230)"
m/last_city,Daniel Osei,True,Frame Weekly,Fresh,A-,2023-01-11,"Smart writing and a superb lead turn make this an easy recommendation, and the ensemble is uniformly excellent; the cinematography does real narrative work. (Review 231)"
m/hollow_winter,Daniel Osei,True,Frame Weekly,Rotten,1.5/5,2021-05-09,"Handsomely mounted and entirely inert, and the leads have no chemistry to speak of. (Review 232)"
m/crimson_city,Daniel Osei,True,Frame Weekly,Rotten,2,2021-02-17,"Predictable and lifeless, with dialogue that lands with a thud, and the editing is actively confusing. (Review 233)"
m/beta_city,Daniel Osei,True,Frame Weekly,Rotten,D,2021-12-06,"Handsomely mounted and entirely inert, and it mistakes volume for tension. (Review 234)"
m/gamma_road,Hannah Lindqvist,True,Daily Reel,Fresh,8/10,2021-01-17,"A sharp, moving film with terrific performances and real momentum, and the script respects its own premise; the score is used sparingly and lands hard. (Review 235) Verdict: 8/10."
m/epsilon_road,Hannah Lindqvist,True,Daily Reel,Fresh,4.5/5,2022-07-15,"Beautifully shot and confidently directed, it earns every beat, and it finds humour without undercutting the drama. (Review 236)"
m/silent_anthem,Hannah Lindqvist,True,Daily Reel,Fresh,4.5/5,2021-12-08,"Assured, generous filmmaking that trusts its audience, and the pacing never slackens. (Review 237) Verdict: 4.5/5."
m/gamma_orbit,Hannah Lindqvist,True,Daily Reel,Fresh,5,2022-10-30,"A sharp, moving film with terrific performances and real momentum, and it works better as a mood piece than as a story. (Review 238)"
m/broken_sea,Hannah Lindqvist,True,Daily Reel,Fresh,85%,2022-07-03,"Smart writing and a superb lead turn make this an easy recommendation, and it finds humour without undercutting the drama. (Review 239) Verdict: 85%."
m/hollow_anthem,Hannah Lindqvist,True,Daily Reel,Fresh,4.5/5,2023-04-23,"A sharp, moving film with terrific performances and real momentum, and the script respects its own premise. (Review 240)"
m/alpha_signal,Hannah Lindqvist,True,Daily Reel,Fresh,9,2019-05-04,"An absolute delight from the first frame to the last, and the pacing never slackens; the ensemble is uniformly excellent. (Review 241) Verdict: 9."
m/beta_machine,Hannah Lindqvist,True,Daily Reel,Fresh,3/5,2020-10-22,"Smart writing and a superb lead turn make this an easy recommendation, and there is a leaner, stranger film buried in here. (Review 242)"
m/beta_harvest,Hannah Lindqvist,True,Daily Reel,Fresh,85%,2021-03-27,"Beautifully shot and confidently directed, it earns every beat, and the script respects its own premise; it finds humour without undercutting the drama. (Review 243)"
m/alpha_road,Hannah Lindqvist,True,Daily Reel,Fresh,B,2023-08-10,"A gorgeous, patient picture with a startling final act, and the pacing never slackens. (Review 244)"
m/hollow_anthem,Hannah Lindqvist,True,Daily Reel,Rotten,2,2022-08-01,"A tedious, overlong mess that squanders a promising premise, and the humour is broad and joyless; it mistakes volume for tension. (Review 245)"
m/golden_sea,Hannah Lindqvist,True,Daily Reel,Fresh,9,2021-01-16,"A gorgeous, patient picture with a startling final act, and it finds humour without undercutting the drama; the score is used sparingly and lands hard. (Review 246) Verdict: 9."
m/broken_sky,Hannah Lindqvist,True,Daily Reel,Fresh,60%,2023-04-19,"Assured, generous filmmaking that trusts its audience, and it works better as a mood piece than as a story. (Review 247)"
m/golden_road,Hannah Lindqvist,True,Daily Reel,Fresh,6/10,2021-12-23,"An absolute delight from the first frame to the last, and there is a leaner, stranger film buried in here. (Review 248) Verdict: 6/10."
m/epsilon_anthem,Hannah Lindqvist,True,Daily Reel,Fresh,85%,2020-03-17,"An absolute delight from the first frame to the last, and the cinematography does real narrative work; the script respects its own premise. (Review 249)"
m/alpha_sky,Hannah Lindqvist,True,Daily Reel,Fresh,8/10,2022-12-06,"Assured, generous filmmaking that trusts its audience, and it finds humour without undercutting the drama. (Review 250) Verdict: 8/10."
m/golden_road,Hannah Lindqvist,True,Daily Reel,Fresh,8/10,2022-01-21,"Beautifully shot and confidently directed, it earns every beat, and the score is used sparingly and lands hard; the ensemble is uniformly excellent. (Review 251) Verdict: 8/10."
m/epsilon_anthem,Hannah Lindqvist,True,Daily Reel,Fresh,60%,2020-02-02,"A gorgeous, patient picture with a startling final act, and there is a leaner, stranger film buried in here; the humour is broad and joyless. (Review 252)"
m/beta_harvest,Hannah Lindqvist,True,Daily Reel,Fresh,2.5/4,2020-04-09,"A sharp, moving film with terrific performances and real momentum, and there is a leaner, stranger film buried in here; it mistakes volume for tension. (Review 253)"
m/golden_sea,Hannah Lindqvist,True,Daily Reel,Fresh,8/10,2020-11-04,"An absolute delight from the first frame to the last, and the script respects its own premise. (Review 254)"
m/alpha_road,Hannah Lindqvist,True,Daily Reel,Fresh,85%,2023-07-14,"A sharp, moving film with terrific performances and real momentum, and the cinematography does real narrative work. (Review 255)"
m/beta_orbit,Hannah Lindqvist,True,Daily Reel,Fresh,6/10,2020-03-23,"A sharp, moving film with terrific performances and real momentum, and there is a leaner, stranger film buried in here. (Review 256)"
m/silent_city,Hannah Lindqvist,True,Daily Reel,Fresh,2.5/4,2020-10-31,"Assured, generous filmmaking that trusts its audience, and it works better as a mood piece than as a story. (Review 257)"
m/beta_night,Hannah Lindqvist,True,Daily Reel,Fresh,3.5/4,2021-03-04,"A gorgeous, patient picture with a startling final act, and the ensemble is uniformly excellent; it finds humour without undercutting the drama. (Review 258) Verdict: 3.5/4."
m/hollow_sea,Hannah Lindqvist,True,Daily Reel,Fresh,9,2022-07-21,"A gorgeous, patient picture with a startling final act, and the ensemble is uniformly excellent; it finds humour without undercutting the drama. (Review 259)"
m/alpha_sea,Hannah Lindqvist,True,Daily Reel,Fresh,85%,2022-01-05,"A sharp, moving film with terrific performances and real momentum, and the pacing never slackens. (Review 260) Verdict: 85%."
m/beta_harvest,Yusuf Demir,True,Screen Ledger,Fresh,5,2020-07-28,"An absolute delight from the first frame to the last, and the ambition is admirable even when the execution wobbles. (Review 261) Verdict: 5."
m/broken_orbit,Yusuf Demir,True,Screen Ledger,Fresh,3.5/4,2022-11-01,"Smart writing and a superb lead turn make this an easy recommendation, and it finds humour without undercutting the drama. (Review 262)"
m/alpha_sky,Yusuf Demir,True,Screen Ledger,Fresh,B+,2023-12-02,"An absolute delight from the first frame to the last, and the score is used sparingly and lands hard. (Review 263)"
m/beta_winter,Yusuf Demir,True,Screen Ledger,Rotten,1.5/5,2023-01-10,"A disappointing misfire that never finds its footing, and the third act abandons its own rules. (Review 264)"
m/crimson_night,Yusuf Demir,True,Screen Ledger,Rotten,3/10,2022-03-15,"A disappointing misfire that never finds its footing, and the leads have no chemistry to speak of; the leads have no chemistry to speak of. (Review 265) Verdict: 3/10."
m/beta_orbit,Yusuf Demir,True,Screen Ledger,Rotten,D,2020-04-20,"Flat characters and clumsy pacing sink whatever goodwill it builds, and the third act abandons its own rules. (Review 266)"
m/crimson_night,Yusuf Demir,True,Screen Ledger,Fresh,4.5/5,2021-12-02,"A gorgeous, patient picture with a startling final act, and the ensemble is uniformly excellent. (Review 267) Verdict: 4.5/5."
m/broken_orbit,Yusuf Demir,True,Screen Ledger,Fresh,C+,2022-06-06,"A gorgeous, patient picture with a startling final act, and there is a leaner, stranger film buried in here. (Review 268)"
m/epsilon_anthem,Yusuf Demir,True,Screen Ledger,Fresh,C+,2020-01-20,"Assured, generous filmmaking that trusts its audience, and the ambition is admirable even when the execution wobbles. (Review 269)"
m/golden_sky,Yusuf Demir,True,Screen Ledger,Fresh,4/5,2019-09-21,"Smart writing and a superb lead turn make this an easy recommendation, and the pacing never slackens. (Review 270)"
m/hollow_harvest,Yusuf Demir,True,Screen Ledger,Rotten,1.5/5,2023-07-03,"Handsomely mounted and entirely inert, and every twist arrives twenty minutes after you saw it coming. (Review 271)"
m/beta_sea,Yusuf Demir,True,Screen Ledger,Fresh,B+,2021-02-16,"A sharp, moving film with terrific performances and real momentum, and the ensemble is uniformly excellent. (Review 272)"
m/hollow_harvest,Yusuf Demir,True,Screen Ledger,Rotten,D+,2023-12-22,"Predictable and lifeless, with dialogue that lands with a thud, and the editing is actively confusing. (Review 273)"
m/beta_harvest,Yusuf Demir,True,Screen Ledger,Fresh,4.5/5,2020-08-10,"A sharp, moving film with terrific performances and real momentum, and the ensemble is uniformly excellent; the ensemble is uniformly excellent. (Review 274)"
m/beta_machine,Yusuf Demir,True,Screen Ledger,Fresh,85%,2020-10-16,"An absolute delight from the first frame to the last, and the cinematography does real narrative work; the cinematography does real narrative work. (Review 275) Verdict: 85%."
m/silent_winter,Yusuf Demir,True,Screen Ledger,Fresh,4/5,2022-06-22,"A sharp, moving film with terrific performances and real momentum, and the score is used sparingly and lands hard. (Review 276)"
m/gamma_road,Yusuf Demir,True,Screen Ledger,Rotten,1.5/5,2020-03-02,"Flat characters and clumsy pacing sink whatever goodwill it builds, and the leads have no chemistry to speak of. (Review 277) Verdict: 1.5/5."
m/northern_city,Yusuf Demir,True,Screen Ledger,Fresh,4.5/5,2023-02-28,"A gorgeous, patient picture with a startling final act, and the pacing never slackens; the cinematography does real narrative work. (Review 278)"
m/gamma_road,Yusuf Demir,True,Screen Ledger,Fresh,3.5/4,2020-08-22,"Assured, generous filmmaking that trusts its audience, and the pacing never slackens; the pacing never slackens. (Review 279)"
m/gamma_orbit,Yusuf Demir,True,Screen Ledger,Rotten,35%,2023-05-09,"Predictable and lifeless, with dialogue that lands with a thud, and the editing is actively confusing. (Review 280) Verdict: 35%."
m/gamma_orbit,Yusuf Demir,True,Screen Ledger,Fresh,B,2022-11-03,"Beautifully shot and confidently directed, it earns every beat, and the cinematography does real narrative work. (Review 281) Verdict: B."
m/alpha_sea,Yusuf Demir,True,Screen Ledger,Fresh,8/10,2022-02-23,"A gorgeous, patient picture with a startling final act, and it finds humour without undercutting the drama. (Review 282)"
m/beta_sea,Yusuf Demir,True,Screen Ledger,Rotten,1.5/5,2020-12-23,"A disappointing misfire that never finds its footing, and it mistakes volume for tension. (Review 283)"
m/broken_sky,Yusuf Demir,True,Screen Ledger,Fresh,A-,2023-01-20,"Beautifully shot and confidently directed, it earns every beat, and the cinematography does real narrative work; the ensemble is uniformly excellent. (Review 284) Verdict: A-."
m/silent_winter,Yusuf Demir,True,Screen Ledger,Fresh,3/5,2022-07-03,"An absolute delight from the first frame to the last, and it works better as a mood piece than as a story. (Review 285)"
m/hollow_road,Yusuf Demir,True,Screen Ledger,Fresh,4/5,2023-03-22,"Beautifully shot and confidently directed, it earns every beat, and the ensemble is uniformly excellent. (Review 286)"
m/beta_orbit,Yusuf Demir,True,Screen Ledger,Fresh,3.5/4,2020-11-25,"Smart writing and a superb lead turn make this an easy recommendation, and the pacing never slackens; it finds humour without undercutting the drama. (Review 287) Verdict: 3.5/4."
m/gamma_orbit,Yusuf Demir,True,Screen Ledger,Fresh,A-,2023-05-20,"A gorgeous, patient picture with a startling final act, and it finds humour without undercutting the drama. (Review 288) Verdict: A-."
m/crimson_night,Yusuf Demir,True,Screen Ledger,Rotten,C-,2022-05-30,"A disappointing misfire that never finds its footing, and the humour is broad and joyless. (Review 289) Verdict: C-."
m/beta_road,Yusuf Demir,True,Screen Ledger,Rotten,1/4,2023-07-04,"A disappointing misfire that never finds its footing, and the third act abandons its own rules; the third act abandons its own rules. (Review 290) Verdict: 1/4."
m/crimson_night,Yusuf Demir,True,Screen Ledger,Fresh,8/10,2022-01-06,"A sharp, moving film with terrific performances and real momentum, and the ensemble is uniformly excellent; the script respects its own premise. (Review 291) Verdict: 8/10."
m/beta_orbit,Yusuf Demir,True,Screen Ledger,Fresh,4.5/5,2020-04-18,"Assured, generous filmmaking that trusts its audience, and the pacing never slackens; the pacing never slackens. (Review 292) Verdict: 4.5/5."
m/hollow_road,Clara Benoit,True,Frame Weekly,Fresh,4.5/5,2023-09-14,"An absolute delight from the first frame to the last, and the cinematography does real narrative work. (Review 293)"
m/crimson_city,Clara Benoit,True,Frame Weekly,Fresh,6/10,2021-03-10,"A sharp, moving film with terrific performances and real momentum, and the ambition is admirable even when the execution wobbles. (Review 294)"
m/last_sky,Clara Benoit,True,Frame Weekly,Fresh,4.5/5,2020-09-25,"Beautifully shot and confidently directed, it earns every beat, and the cinematography does real narrative work; the score is used sparingly and lands hard. (Review 295)"
m/broken_sea,Clara Benoit,True,Frame Weekly,Fresh,85%,2022-06-11,"A gorgeous, patient picture with a startling final act, and the score is used sparingly and lands hard. (Review 296) Verdict: 85%."
m/delta_road,Clara Benoit,True,Frame Weekly,Fresh,85%,2022-06-22,"A gorgeous, patient picture with a startling final act, and the cinematography does real narrative work. (Review 297)"
m/gamma_road,Clara Benoit,True,Frame Weekly,Fresh,4.5/5,2020-03-01,"A gorgeous, patient picture with a startling final act, and it finds humour without undercutting the drama. (Review 298)"
m/broken_sea,Clara Benoit,True,Frame Weekly,Fresh,60%,2022-10-03,"Assured, generous filmmaking that trusts its audience, and it works better as a mood piece than as a story; the third act abandons its own rules. (Review 299)"
m/hollow_winter,Clara Benoit,True,Frame Weekly,Fresh,B,2020-08-16,"A gorgeous, patient picture with a startling final act, and the pacing never slackens. (Review 300) Verdict: B."
m/silent_anthem,Clara Benoit,True,Frame Weekly,Fresh,8/10,2022-10-20,"An absolute delight from the first frame to the last, and the ensemble is uniformly excellent. (Review 301)"
m/beta_orbit,Clara Benoit,True,Frame Weekly,Fresh,2.5/4,2020-03-27,"Assured, generous filmmaking that trusts its audience, and there is a leaner, stranger film buried in here. (Review 302) Verdict: 2.5/4."
m/northern_road,Clara Benoit,True,Frame Weekly,Fresh,A-,2022-07-07,"Smart writing and a superb lead turn make this an easy recommendation, and the pacing never slackens; the pacing never slackens. (Review 303)"
m/beta_road,Clara Benoit,True,Frame Weekly,Fresh,B,2023-08-13,"Assured, generous filmmaking that trusts its audience, and the pacing never slackens. (Review 304) Verdict: B."
m/epsilon_anthem,Clara Benoit,True,Frame Weekly,Rotten,1/4,2021-01-16,"Weightless spectacle in search of a reason to exist, and every twist arrives twenty minutes after you saw it coming. (Review 305)"
